Small Misquito,4,waving,wipping wings,wiggly legs,beating wings
Small House Fly,4,waving,wipping wings,wiggly legs,beating wings
Weakened Laborer,0,waving,hands,fists,shield o' hands
Small Ant,4,waving,killer pincers,wiggly legs,wiggly antennae
Weakened Tradesman,0,waving,hands,fists,shield o' hands
Small Crickit,4,waving,killer legs,antennae,anoying buzz
Small Grasshopper,4,waving,killer legs,antennae,anoying buzz
Good Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Weakened Farmer,0,waving,pitchfork,scythe,shovel
Small Dragon Fly,4,waving,wipping wings,wiggly legs,beating wings
Good Dwarvish Theif,11,waving,knife,pickpocket hands,shield o' hands
Weakened Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Small Spider,4,waving,biting mouth,wiggly legs,hard shell
Weakened Orc,1,waving,hairy hands,hairy fists,shield o' hands
Weakened Footman,0,waving,shield,sword,iron shield
Weakened Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Weakened Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Small Scorpion,4,waving,killer claws,poisened tail,killer claws
Weakened Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Good Dwarvish King,11,waving,sword,lance,platinum shield
Weakened Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Weakened Swordsman,0,waving,shield,sword,iron shield
Weakened Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Good Elf,6,waving,hairy hands,hairy fists,shield o' hands
Good Elvish Theif,6,waving,knife,pickpocket hands,shield o' hands
Weakened Orcish Spearman,1,waving,spear,spear shaft,iron shield
Weakened Orcish Swordsman,1,waving,sword,shield,iron shield
Weakened Knight,0,waving,sword,lance,steel shield
Small Dust Storm,10,sending,choking dust,blinding wind,wall o' dust
Weakened Dwarvish Theif,11,waving,knife,pickpocket hands,shield o' hands
Good Holyman,16,waving,staff,blessed sword,spiritual shield
Weakened Elf,6,waving,hairy hands,hairy fists,shield o' hands
Weakened Holy Knight,0,waving,sword,lance,golden shield
Good Orc,1,waving,hairy hands,hairy fists,shield o' hands
Good Wizzard,16,waving,magic staff,magic sword,magic shield
Weakened Elf,6,waving,hairy hands,hairy fists,shield o' hands
Weakened Elvish Theif,6,waving,knife,pickpocket hands,shield o' hands
Good High Priestess,16,waving,magic hands,magic sword,magic shield
Weakened High Knight,0,waving,sword,lance,platinum shield
Good Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Weakened Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Weakened Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
Stream,8,sending,drowning drench,chilling water wave,wall o' water
Weakened Orcish King,1,waving,sword,lance,platinum shield
Misquito,4,waving,wipping wings,wiggly legs,beating wings
House Fly,4,waving,wipping wings,wiggly legs,beating wings
Weakened Goblish King,2,waving,sword,lance,platinum shield
Crickit,4,waving,killer legs,antennae,anoying buzz
Weakened Dwarvish King,11,waving,sword,lance,platinum shield
Weakened Elvish King,6,waving,sword,lance,platinum shield
Good Orcish Spearman,1,waving,spear,spear shaft,iron shield
Good Orcish Footman,1,waving,sword,shield,iron shield
Weakened Elvish King,6,waving,sword,lance,platinum shield
Tradesman,0,waving,hands,fists,shield o' hands
Good Orcish Swordsman,1,waving,sword,shield,iron shield
Farmer,0,waving,pitchfork,scythe,shovel
Good Orcish King,1,waving,sword,lance,platinum shield
Weakened Holyman,16,waving,staff,blessed sword,spiritual shield
Grasshopper,4,waving,killer legs,antennae,anoying buzz
Good Goblish King,2,waving,sword,lance,platinum shield
Deer Fly,4,waving,wipping wings,wiggly legs,beating wings
Dragon Fly,4,waving,wipping wings,wiggly legs,beating wings
Spider,4,waving,biting mouth,wiggly legs,hard shell
Laborer,0,waving,hands,fists,shield o' hands
Weakened High Priestess,16,waving,magic hands,magic sword,magic shield
Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Thief,0,waving,pickpoket hands,knife,shield o' hands
Footman,0,waving,shield,sword,iron shield
Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Scorpion,4,waving,killer claws,poisened tail,killer claws
Undead Gnat,4,waving,wipping wings,wiggly legs,beating wings
Undead Misquito,4,waving,wipping wings,wiggly legs,beating wings
Weakened High Priest,16,waving,magic hands,magic sword,magic shield
Undead House Fly,4,waving,wipping wings,wiggly legs,beating wings
Undead Ant,4,waving,killer pincers,wiggly legs,wiggly antennae
Spearman,0,pointing,spear,spear shaft,iron shield
Enchanted House Fly,4,waving,wipping wings,wiggly legs,beating wings
Enchanted Ant,4,waving,killer pincers,wiggly legs,wiggly antennae
Swordsman,0,waving,shield,sword,iron shield
Undead Crickit,4,waving,killer legs,antennae,anoying buzz
Undead Grasshopper,4,waving,killer legs,antennae,anoying buzz
Knight,0,waving,sword,lance,steel shield
Undead Deer Fly,4,waving,wipping wings,wiggly legs,beating wings
Holy Knight,0,waving,sword,lance,golden shield
Undead Spider,4,waving,biting mouth,wiggly legs,hard shell
Undead Scorpion,4,waving,killer claws,poisened tail,killer claws
High Knight,0,waving,sword,lance,platinum shield
Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Dwarvish Theif,11,waving,knife,pickpocket hands,shield o' hands
Enchanted Gnat,4,waving,wipping wings,wiggly legs,beating wings
Elf,6,waving,hairy hands,hairy fists,shield o' hands
Elvish King,6,waving,sword,lance,platinum shield
Enchanted Deer Fly,4,waving,wipping wings,wiggly legs,beating wings
Enchanted Dragon Fly,4,waving,wipping wings,wiggly legs,beating wings
Dwarvish King,11,waving,sword,lance,platinum shield
Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Orc,1,waving,hairy hands,hairy fists,shield o' hands
Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Orcish Spearman,1,waving,spear,spear shaft,iron shield
