Weakened Laborer,0,waving,hands,fists,shield o' hands
Weakened Tradesman,0,waving,hands,fists,shield o' hands
Weakened Farmer,0,waving,pitchfork,scythe,shovel
Weakened Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Weakened Thief,0,waving,pickpoket hands,knife,shield o' hands
Weakened Footman,0,waving,shield,sword,iron shield
Weakened Swordsman,0,waving,shield,sword,iron shield
Weakened Knight,0,waving,sword,lance,steel shield
Weakened Holy Knight,0,waving,sword,lance,golden shield
Weakened High Knight,0,waving,sword,lance,platinum shield
Laborer,0,waving,hands,fists,shield o' hands
Tradesman,0,waving,hands,fists,shield o' hands
Farmer,0,waving,pitchfork,scythe,shovel
Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Thief,0,waving,pickpoket hands,knife,shield o' hands
Footman,0,waving,shield,sword,iron shield
Swordsman,0,waving,shield,sword,iron shield
Knight,0,waving,sword,lance,steel shield
Holy Knight,0,waving,sword,lance,golden shield
High Knight,0,waving,sword,lance,platinum shield
Confident Laborer,0,waving,hands,fists,shield o' hands
Confident Tradesman,0,waving,hands,fists,shield o' hands
Confident Farmer,0,waving,pitchfork,scythe,shovel
Confident Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Confident Thief,0,waving,pickpoket hands,knife,shield o' hands
Confident Footman,0,waving,shield,sword,iron shield
Confident Swordsman,0,waving,shield,sword,iron shield
Confident Knight,0,waving,sword,lance,steel shield
Confident Holy Knight,0,waving,sword,lance,golden shield
Confident High Knight,0,waving,sword,lance,platinum shield
Strong Laborer,0,waving,hands,fists,shield o' hands
Strong Tradesman,0,waving,hands,fists,shield o' hands
Strong Farmer,0,waving,pitchfork,scythe,shovel
Strong Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Strong Thief,0,waving,pickpoket hands,knife,shield o' hands
Strong Footman,0,waving,shield,sword,iron shield
Strong Swordsman,0,waving,shield,sword,iron shield
Strong Knight,0,waving,sword,lance,steel shield
Strong Holy Knight,0,waving,sword,lance,golden shield
Strong High Knight,0,waving,sword,lance,platinum shield
Undead Laborer,0,waving,hands,fists,shield o' hands
Undead Tradesman,0,waving,hands,fists,shield o' hands
Undead Farmer,0,waving,pitchfork,scythe,shovel
Undead Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Undead Thief,0,waving,pickpoket hands,knife,shield o' hands
Undead Footman,0,waving,shield,sword,iron shield
Undead Swordsman,0,waving,shield,sword,iron shield
Undead Knight,0,waving,sword,lance,steel shield
Undead Holy Knight,0,waving,sword,lance,golden shield
Undead High Knight,0,waving,sword,lance,platinum shield
Entranced Laborer,0,waving,hands,fists,shield o' hands
Entranced Tradesman,0,waving,hands,fists,shield o' hands
Entranced Farmer,0,waving,pitchfork,scythe,shovel
Entranced Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Entranced Thief,0,waving,pickpoket hands,knife,shield o' hands
Entranced Footman,0,waving,shield,sword,iron shield
Entranced Swordsman,0,waving,shield,sword,iron shield
Entranced Knight,0,waving,sword,lance,steel shield
Entranced Holy Knight,0,waving,sword,lance,golden shield
Entranced High Knight,0,waving,sword,lance,platinum shield
Enchanted Laborer,0,waving,hands,fists,shield o' hands
Enchanted Tradesman,0,waving,hands,fists,shield o' hands
Enchanted Farmer,0,waving,pitchfork,scythe,shovel
Enchanted Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Enchanted Thief,0,waving,pickpoket hands,knife,shield o' hands
Enchanted Footman,0,waving,shield,sword,iron shield
Enchanted Swordsman,0,waving,shield,sword,iron shield
Enchanted Knight,0,waving,sword,lance,steel shield
Enchanted Holy Knight,0,waving,sword,lance,golden shield
Enchanted High Knight,0,waving,sword,lance,platinum shield
Posessed Laborer,0,waving,hands,fists,shield o' hands
Posessed Tradesman,0,waving,hands,fists,shield o' hands
Posessed Farmer,0,waving,pitchfork,scythe,shovel
Posessed Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Posessed Thief,0,waving,pickpoket hands,knife,shield o' hands
Posessed Footman,0,waving,shield,sword,iron shield
Posessed Swordsman,0,waving,shield,sword,iron shield
Posessed Knight,0,waving,sword,lance,steel shield
Posessed Holy Knight,0,waving,sword,lance,golden shield
Posessed High Knight,0,waving,sword,lance,platinum shield
Weakened Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Weakened Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Weakened Spearman,0,pointing,spear,spear shaft,iron shield
Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Spearman,0,pointing,spear,spear shaft,iron shield
Confident Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Confident Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Confident Spearman,0,pointing,spear,spear shaft,iron shield
Strong Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Strong Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Strong Spearman,0,pointing,spear,spear shaft,iron shield
Undead Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Undead Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Undead Spearman,0,pointing,spear,spear shaft,iron shield
Entranced Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Entranced Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Entranced Spearman,0,pointing,spear,spear shaft,iron shield
Enchanted Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Enchanted Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Enchanted Spearman,0,pointing,spear,spear shaft,iron shield
Posessed Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Posessed Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Posessed Spearman,0,pointing,spear,spear shaft,iron shield
Good Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Good Orc,1,waving,hairy hands,hairy fists,shield o' hands
Good Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Good Orcish Spearman,1,waving,spear,spear shaft,iron shield
Good Orcish Footman,1,waving,sword,shield,iron shield
Good Orcish Swordsman,1,waving,sword,shield,iron shield
Good Orcish Knight,1,waving,sword,lance,golden shield
Good Orcish King,1,waving,sword,lance,platinum shield
Weakened Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Weakened Orc,1,waving,hairy hands,hairy fists,shield o' hands
Weakened Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Weakened Orcish Spearman,1,waving,spear,spear shaft,iron shield
Weakened Orcish Footman,1,waving,sword,shield,iron shield
Weakened Orcish Swordsman,1,waving,sword,shield,iron shield
Weakened Orcish Knight,1,waving,sword,lance,golden shield
Weakened Orcish King,1,waving,sword,lance,platinum shield
Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Orc,1,waving,hairy hands,hairy fists,shield o' hands
Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Orcish Spearman,1,waving,spear,spear shaft,iron shield
Orcish Footman,1,waving,sword,shield,iron shield
Orcish Swordsman,1,waving,sword,shield,iron shield
Orcish Knight,1,waving,sword,lance,golden shield
Orcish King,1,waving,sword,lance,platinum shield
Strong Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Strong Orc,1,waving,hairy hands,hairy fists,shield o' hands
Strong Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Strong Orcish Spearman,1,waving,spear,spear shaft,iron shield
Strong Orcish Footman,1,waving,sword,shield,iron shield
Strong Orcish Swordsman,1,waving,sword,shield,iron shield
Strong Orcish Knight,1,waving,sword,lance,golden shield
Strong Orcish King,1,waving,sword,lance,platinum shield
Evil Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Evil Orc,1,waving,hairy hands,hairy fists,shield o' hands
Evil Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Evil Orcish Spearman,1,waving,spear,spear shaft,iron shield
Evil Orcish Footman,1,waving,sword,shield,iron shield
Evil Orcish Swordsman,1,waving,sword,shield,iron shield
Evil Orcish Knight,1,waving,sword,lance,golden shield
Evil Orcish King,1,waving,sword,lance,platinum shield
Undead Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Undead Orc,1,waving,hairy hands,hairy fists,shield o' hands
Undead Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Undead Orcish Spearman,1,waving,spear,spear shaft,iron shield
Undead Orcish Footman,1,waving,sword,shield,iron shield
Undead Orcish Swordsman,1,waving,sword,shield,iron shield
Undead Orcish Knight,1,waving,sword,lance,golden shield
Undead Orcish King,1,waving,sword,lance,platinum shield
Entranced Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Entranced Orc,1,waving,hairy hands,hairy fists,shield o' hands
Entranced Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Entranced Orcish Spearman,1,waving,spear,spear shaft,iron shield
Entranced Orcish Footman,1,waving,sword,shield,iron shield
Entranced Orcish Swordsman,1,waving,sword,shield,iron shield
Entranced Orcish Knight,1,waving,sword,lance,golden shield
Entranced Orcish King,1,waving,sword,lance,platinum shield
Enchanted Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Enchanted Orc,1,waving,hairy hands,hairy fists,shield o' hands
Enchanted Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Enchanted Orcish Spearman,1,waving,spear,spear shaft,iron shield
Enchanted Orcish Footman,1,waving,sword,shield,iron shield
Enchanted Orcish Swordsman,1,waving,sword,shield,iron shield
Enchanted Orcish Knight,1,waving,sword,lance,golden shield
Enchanted Orcish King,1,waving,sword,lance,platinum shield
Good Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Good Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
Good Goblish King,2,waving,sword,lance,platinum shield
Weakened Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Weakened Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
Weakened Goblish King,2,waving,sword,lance,platinum shield
Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
Goblish King,2,waving,sword,lance,platinum shield
Confident Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Confident Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
Confident Goblish King,2,waving,sword,lance,platinum shield
Strong Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Strong Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
Strong Goblish King,2,waving,sword,lance,platinum shield
Evil Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Evil Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
