Small Gnat,4,waving,wipping wings,wiggly legs,beating wings
Weakened Laborer,0,waving,hands,fists,shield o' hands
Weakened Tradesman,0,waving,hands,fists,shield o' hands
Good Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Small Deer Fly,4,waving,wipping wings,wiggly legs,beating wings
Weakened Farmer,0,waving,pitchfork,scythe,shovel
Small Dragon Fly,4,waving,wipping wings,wiggly legs,beating wings
Weakened Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Small Spider,4,waving,biting mouth,wiggly legs,hard shell
Weakened Orc,1,waving,hairy hands,hairy fists,shield o' hands
Weakened Thief,0,waving,pickpoket hands,knife,shield o' hands
Weakened Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Weakened Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Small Scorpion,4,waving,killer claws,poisened tail,killer claws
Weakened Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Good Dwarvish King,11,waving,sword,lance,platinum shield
Weakened Spearman,0,pointing,spear,spear shaft,iron shield
Weakened Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Weakened Swordsman,0,waving,shield,sword,iron shield
Weakened Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Good Elf,6,waving,hairy hands,hairy fists,shield o' hands
Good Elvish Theif,6,waving,knife,pickpocket hands,shield o' hands
Weakened Orcish Spearman,1,waving,spear,spear shaft,iron shield
Weakened Orcish Footman,1,waving,sword,shield,iron shield
Weakened Orcish Swordsman,1,waving,sword,shield,iron shield
Weakened Dwarvish Theif,11,waving,knife,pickpocket hands,shield o' hands
Good Elvish King,6,waving,sword,lance,platinum shield
Good Holyman,16,waving,staff,blessed sword,spiritual shield
Weakened Elf,6,waving,hairy hands,hairy fists,shield o' hands
Weakened Holy Knight,0,waving,sword,lance,golden shield
Good Orc,1,waving,hairy hands,hairy fists,shield o' hands
Good Wizzard,16,waving,magic staff,magic sword,magic shield
Gnat,4,waving,wipping wings,wiggly legs,beating wings
Misquito,4,waving,wipping wings,wiggly legs,beating wings
Weakened Elf,6,waving,hairy hands,hairy fists,shield o' hands
Good Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Weakened Orcish Knight,1,waving,sword,lance,golden shield
Weakened Elvish Theif,6,waving,knife,pickpocket hands,shield o' hands
Good High Priestess,16,waving,magic hands,magic sword,magic shield
Weakened High Knight,0,waving,sword,lance,platinum shield
Good Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Weakened Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Weakened Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
Weakened Knight,0,waving,sword,lance,steel shield
Stream,8,sending,drowning drench,chilling water wave,wall o' water
Weakened Orcish King,1,waving,sword,lance,platinum shield
Good Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
House Fly,4,waving,wipping wings,wiggly legs,beating wings
Good High Priest,16,waving,magic hands,magic sword,magic shield
Weakened Goblish King,2,waving,sword,lance,platinum shield
Weakened Dwarvish King,11,waving,sword,lance,platinum shield
Weakened Elvish King,6,waving,sword,lance,platinum shield
Good Orcish Spearman,1,waving,spear,spear shaft,iron shield
Good Orcish Footman,1,waving,sword,shield,iron shield
Weakened Elvish King,6,waving,sword,lance,platinum shield
Tradesman,0,waving,hands,fists,shield o' hands
Good Orcish Swordsman,1,waving,sword,shield,iron shield
Farmer,0,waving,pitchfork,scythe,shovel
Good Orcish King,1,waving,sword,lance,platinum shield
Weakened Holyman,16,waving,staff,blessed sword,spiritual shield
Good Goblish King,2,waving,sword,lance,platinum shield
Deer Fly,4,waving,wipping wings,wiggly legs,beating wings
Spider,4,waving,biting mouth,wiggly legs,hard shell
Laborer,0,waving,hands,fists,shield o' hands
Good Orcish Knight,1,waving,sword,lance,golden shield
Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Thief,0,waving,pickpoket hands,knife,shield o' hands
Footman,0,waving,shield,sword,iron shield
Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Scorpion,4,waving,killer claws,poisened tail,killer claws
Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Weakened High Priest,16,waving,magic hands,magic sword,magic shield
Weakened Wizzard,16,waving,magic staff,magic sword,magic shield
Undead House Fly,4,waving,wipping wings,wiggly legs,beating wings
Spearman,0,pointing,spear,spear shaft,iron shield
Enchanted House Fly,4,waving,wipping wings,wiggly legs,beating wings
Swordsman,0,waving,shield,sword,iron shield
Holy Knight,0,waving,sword,lance,golden shield
Undead Dragon Fly,4,waving,wipping wings,wiggly legs,beating wings
Enchanted Misquito,4,waving,wipping wings,wiggly legs,beating wings
Undead Spider,4,waving,biting mouth,wiggly legs,hard shell
Undead Scorpion,4,waving,killer claws,poisened tail,killer claws
High Knight,0,waving,sword,lance,platinum shield
Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Dwarvish Theif,11,waving,knife,pickpocket hands,shield o' hands
Enchanted Gnat,4,waving,wipping wings,wiggly legs,beating wings
Elf,6,waving,hairy hands,hairy fists,shield o' hands
Elvish Theif,6,waving,knife,pickpocket hands,shield o' hands
Elvish King,6,waving,sword,lance,platinum shield
Enchanted Deer Fly,4,waving,wipping wings,wiggly legs,beating wings
Enchanted Dragon Fly,4,waving,wipping wings,wiggly legs,beating wings
Dwarvish King,11,waving,sword,lance,platinum shield
Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Orc,1,waving,hairy hands,hairy fists,shield o' hands
Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Orcish Spearman,1,waving,spear,spear shaft,iron shield
Falling Rock,9,sending,rocks o' death,rain o' rocks,wall o' dust
Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
Orcish Footman,1,waving,sword,shield,iron shield
Goblish King,2,waving,sword,lance,platinum shield
Posessed Gnat,4,waving,wipping wings,wiggly legs,beating wings
Orcish Swordsman,1,waving,sword,shield,iron shield
Strong Laborer,0,waving,hands,fists,shield o' hands
Posessed House Fly,4,waving,wipping wings,wiggly legs,beating wings
Strong Tradesman,0,waving,hands,fists,shield o' hands
Orcish Knight,1,waving,sword,lance,golden shield
Strong Farmer,0,waving,pitchfork,scythe,shovel
Enchanted Spider,4,waving,biting mouth,wiggly legs,hard shell
Falling Boulder,9,sending,rocks o' death,rain o' rocks,wall o' rocks
Strong Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Posessed Dragon Fly,4,waving,wipping wings,wiggly legs,beating wings
Orcish King,1,waving,sword,lance,platinum shield
Enchanted Scorpion,4,waving,killer claws,poisened tail,killer claws
Strong Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Strong Blacksmith,0,waving,sledge hammer,iron sword,iron shield
