Small Gnat,4,waving,wipping wings,wiggly legs,beating wings
Small Misquito,4,waving,wipping wings,wiggly legs,beating wings
Small House Fly,4,waving,wipping wings,wiggly legs,beating wings
Weakened Laborer,0,waving,hands,fists,shield o' hands
Weakened Tradesman,0,waving,hands,fists,shield o' hands
Good Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Small Deer Fly,4,waving,wipping wings,wiggly legs,beating wings
Weakened Farmer,0,waving,pitchfork,scythe,shovel
Small Dragon Fly,4,waving,wipping wings,wiggly legs,beating wings
Small Preying Mantis,4,waving,killer legs,antennae,shield o' arms
Good Dwarvish Theif,11,waving,knife,pickpocket hands,shield o' hands
Weakened Blacksmith,0,waving,sledge hammer,iron sword,iron shield
Small Spider,4,waving,biting mouth,wiggly legs,hard shell
Weakened Orc,1,waving,hairy hands,hairy fists,shield o' hands
Weakened Thief,0,waving,pickpoket hands,knife,shield o' hands
Weakened Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Weakened Hunter,0,pointing,spear,bow n' arrow,shield o' hands
Small Scorpion,4,waving,killer claws,poisened tail,killer claws
Weakened Bowman,0,pointing,bow n' arrow,bow n' arrow,barrage o' arrows
Good Dwarvish King,11,waving,sword,lance,platinum shield
Weakened Spearman,0,pointing,spear,spear shaft,iron shield
Weakened Dwarf,11,waving,hairy hands,hairy fists,shield o' hands
Weakened Swordsman,0,waving,shield,sword,iron shield
Weakened Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Good Elf,6,waving,hairy hands,hairy fists,shield o' hands
Good Elvish Theif,6,waving,knife,pickpocket hands,shield o' hands
Weakened Orcish Spearman,1,waving,spear,spear shaft,iron shield
Weakened Knight,0,waving,sword,lance,steel shield
Weakened Dwarvish Theif,11,waving,knife,pickpocket hands,shield o' hands
Good Holyman,16,waving,staff,blessed sword,spiritual shield
Weakened Elf,6,waving,hairy hands,hairy fists,shield o' hands
Weakened Holy Knight,0,waving,sword,lance,golden shield
Good Orc,1,waving,hairy hands,hairy fists,shield o' hands
Good Orcish Laborer,1,waving,hairy hands,hairy fists,shield o' hands
Good Wizzard,16,waving,magic staff,magic sword,magic shield
Weakened Elf,6,waving,hairy hands,hairy fists,shield o' hands
Weakened Elvish Theif,6,waving,knife,pickpocket hands,shield o' hands
Good Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Weakened Elvish Theif,6,waving,knife,pickpocket hands,shield o' hands
Good High Priestess,16,waving,magic hands,magic sword,magic shield
Weakened High Knight,0,waving,sword,lance,platinum shield
Good Orcish Thief,1,waving,pickpoket hands,knife,shield o' hands
Weakened Goblin,2,waving,slimey hands,slimey fists,shield o' hands
Weakened Goblish Theif,2,waving,knife,pickpocket hands,shield o' hands
